Line number,From node #,To node #,Value
1,2,3,0.2597
2,2,6,0.0504
3,2,4,0.1527
4,1,4,0.0510
5,4,9,0.1168
6,4,7,0.5548
7,6,9,0.0837
8,9,12,0.4944
9,12,15,0.0382
10,12,13,0.7429
11,5,8,0.1331
12,7,8,0.5979
13,8,10,0.6955
14,8,13,0.7647
15,10,11,0.7697
16,11,17,0.7909
17,5,7,0.0530
18,13,14,0.7206
19,13,16,0.7318
20,16,18,0.0542
21,14,17,0.8833
22,17,20,0.6519
23,17,24,1.0000
24,20,22,0.9025
25,16,20,0.7993
26,20,23,0.0018
27,22,26,0.9754
28,19,47,0.6690
29,19,21,0.6577
30,21,24,1.0000
31,25,26,0.0000
32,26,27,1.0000
33,24,31,1.0000
34,24,27,0.7879
35,27,29,1.0000
36,29,31,0.8276
37,29,30,0.7106
38,30,31,0.4886
39,28,30,0.0370
40,30,33,0.8306
41,33,34,0.8220
42,31,32,0.7963
43,35,37,0.8422
44,31,34,0.8289
45,34,36,0.9936
46,36,38,0.4273
47,36,39,0.8786
48,31,37,1.0000
49,36,37,0.4860
50,37,42,0.9020
51,38,41,0.4305
52,39,40,0.7313
53,41,43,0.9544
54,40,45,0.6038
55,44,45,0.7296
56,41,44,0.7991
57,43,46,0.8519
58,37,41,0.9052
