Line number,From node #,To node #,Value
1,2,3,0.2389
2,2,6,0.0008
3,2,4,0.0971
4,1,4,0.0000
5,4,9,0.0828
6,4,7,0.5075
7,6,9,0.0161
8,9,12,0.4602
9,12,15,0.0000
10,12,13,0.6899
11,5,8,0.1224
12,7,8,0.5339
13,8,10,0.6509
14,8,13,0.6671
15,10,11,0.6732
16,11,17,0.7014
17,5,7,0.0578
18,13,14,0.6534
19,13,16,0.6333
20,16,18,0.0000
21,14,17,0.7156
22,17,20,0.5138
23,17,24,0.9283
24,20,22,0.7913
25,16,20,0.7105
26,20,23,0.0000
27,22,26,0.7918
28,19,47,0.5457
29,19,21,0.5658
30,21,24,0.8547
31,25,26,0.0000
32,26,27,0.8564
33,24,31,0.9246
34,24,27,0.6756
35,27,29,0.8776
36,29,31,0.7524
37,29,30,0.6914
38,30,31,0.4670
39,28,30,0.0000
40,30,33,0.7397
41,33,34,0.7271
42,31,32,0.7349
43,35,37,0.7731
44,31,34,0.7521
45,34,36,0.8183
46,36,38,0.3784
47,36,39,0.7468
48,31,37,0.8990
49,36,37,0.4671
50,37,42,0.7885
51,38,41,0.3847
52,39,40,0.6677
53,41,43,0.8765
54,40,45,0.5836
55,44,45,0.6478
56,41,44,0.7107
57,43,46,0.8017
58,37,41,0.8126
