Line number,From node #,To node #,Value
1,2,3,0.2389
2,2,6,0.0000
3,2,4,0.0675
4,1,4,0.0555
5,4,9,0.0868
6,4,7,0.4050
7,6,9,0.0399
8,9,12,0.5290
9,12,15,0.0560
10,12,13,0.7242
11,5,8,0.0006
12,7,8,0.6108
13,8,10,0.6270
14,8,13,0.5660
15,10,11,0.6254
16,11,17,0.7400
17,5,7,0.1534
18,13,14,0.6187
19,13,16,0.6326
20,16,18,0.0877
21,14,17,0.6653
22,17,20,0.4285
23,17,24,0.8091
24,20,22,0.7273
25,16,20,0.6510
26,20,23,0.0371
27,22,26,0.8289
28,19,47,0.4026
29,19,21,0.5377
30,21,24,0.7471
31,25,26,0.0003
32,26,27,0.8048
33,24,31,0.7683
34,24,27,0.5801
35,27,29,0.7808
36,29,31,0.7053
37,29,30,0.6959
38,30,31,0.4081
39,28,30,0.0049
40,30,33,0.6980
41,33,34,0.7522
42,31,32,0.7679
43,35,37,0.8730
44,31,34,0.8016
45,34,36,0.7819
46,36,38,0.3996
47,36,39,0.7249
48,31,37,0.7315
49,36,37,0.4299
50,37,42,0.7864
51,38,41,0.3375
52,39,40,0.6583
53,41,43,0.8551
54,40,45,0.5170
55,44,45,0.5965
56,41,44,0.6333
57,43,46,0.7584
58,37,41,0.6723
